date,region,latitude,longitude,category,price,quantity,discount,revenue,customer_age,customer_segment
2023-05-17,Mansoura,31.060559458520068,31.36567788096971,Home,2459.36,8,0.0,19674.84,21.0,High
2023-12-14,Giza,30.009614022834654,31.2132126137114,Sports,350.45,8,0.1,2523.23,54.0,Middle
2023-09-25,Zagazig,30.5659983906144,31.50298107774941,Clothing,214.78,13,0.3,1954.48,18.0,Middle
2023-08-07,Alexandria,31.190545981348933,29.932200939233454,Sports,1757.85,10,0.1,15820.67,28.0,High
2023-02-26,Alexandria,31.193598277279136,29.924650826926236,Groceries,218.44,8,0.0,1747.5,32.0,Middle
2023-02-26,Alexandria,31.18683797210636,29.905720383435348,Groceries,49.63,9,0.25,334.98,50.0,Low
2023-01-22,Cairo,30.034096923494268,31.231079405292217,Home,2374.83,12,0.0,28497.96,39.0,High
2023-11-13,Cairo,30.046446182255906,31.21459563513619,Groceries,208.14,11,0.15,1946.12,32.0,Middle
2023-08-08,Alexandria,31.206697224693876,29.921633728445695,Clothing,344.36,9,0.3,2169.45,26.0,Middle
2023-09-16,Mansoura,31.020256090359712,31.406407483428985,Sports,1762.94,8,0.5,7051.76,49.0,High
2023-01-08,Mansoura,31.035578384865186,31.37980818273255,Groceries,154.65,10,0.1,1391.88,25.0,Middle
2023-12-21,Cairo,30.044776762047086,31.237711853693977,Groceries,97.88,9,0.1,792.81,38.0,Low
2023-10-31,Alexandria,31.189432324453154,29.918526825177217,Clothing,1272.55,6,0.2,6108.26,33.0,High
2023-03-19,Mansoura,31.04326184155298,31.382058516091508,Electronics,4084.56,5,0.1,18380.53,41.0,High
2023-03-08,Cairo,30.043221702824066,31.23413765606147,Electronics,3680.65,3,0.0,11041.96,54.0,High
2023-03-08,Alexandria,31.195614093785498,29.924878554137567,Clothing,1368.07,10,0.15,11628.57,43.0,High
2023-04-22,Giza,30.004455083882434,31.201175827476668,Groceries,261.16,9,0.0,2350.43,33.0,Middle
2023-07-11,Alexandria,31.202834077897503,29.91139024556534,Clothing,494.83,11,0.3,3810.18,55.0,High
2023-06-07,Alexandria,31.192465123752864,29.905775202024092,Clothing,1342.29,6,0.1,7248.38,54.0,High
2023-04-17,Zagazig,30.57036986211509,31.5016747385009,Electronics,2809.14,10,0.1,25282.25,49.0,High
2023-08-12,Zagazig,30.58792099323551,31.49094176634001,Home,1363.55,11,0.25,11249.28,38.0,High
2023-02-20,Giza,30.000709767396902,31.223425363893238,Groceries,292.25,6,0.1,1578.17,26.0,Middle
2023-04-17,Giza,29.996638036996213,31.204590593922063,Sports,1591.79,7,0.25,8356.88,18.0,High
2023-05-14,Alexandria,31.201395220782697,29.89900984437179,Clothing,617.93,8,0.0,4943.45,38.0,High
2023-06-16,Mansoura,31.039270908437143,31.367145744594247,Electronics,3767.74,3,0.15,9607.74,44.0,High
2023-10-14,Giza,30.004436633828124,31.210250433529637,Home,1578.65,7,0.25,8287.91,19.0,High
2023-03-14,Alexandria,31.20238940243896,29.92522354929069,Groceries,52.65,11,0.15,492.27,40.0,Low
2023-07-07,Cairo,30.048639323116134,31.23923927355727,Clothing,1354.08,7,0.0,9478.55,30.0,High
2023-08-05,Zagazig,30.590098285379238,31.493776603658524,Electronics,4376.59,2,0.25,6564.88,41.0,High
2023-01-17,Mansoura,31.042935247552148,31.372787704600647,Clothing,1211.02,10,0.15,10293.7,28.0,High
2023-08-10,Alexandria,31.184046169729402,29.911816597107514,Sports,1250.56,7,0.1,7878.53,26.0,High
2023-03-04,Cairo,30.057332370523497,31.241366351370154,Groceries,81.83,8,0.5,327.34,34.0,Low
2023-01-24,Zagazig,30.59327470528092,31.503162951351143,Groceries,267.49,13,0.3,2434.17,21.0,Middle
2023-12-13,Cairo,30.034892090814672,31.231225968441873,Groceries,118.83,10,0.0,1188.3,47.0,Middle
2023-12-19,Alexandria,31.19998241941606,29.912105402211473,Groceries,25.63,8,0.2,164.05,35.0,Low
2023-10-23,Giza,30.01488290941126,31.203670599735055,Electronics,4936.21,2,0.1,8885.18,21.0,High
2023-04-22,Zagazig,30.587306600440726,31.502084863407116,Sports,1763.97,10,0.0,17639.67,28.0,High
2023-02-05,Cairo,30.062330609918103,31.24910821615268,Clothing,1009.48,10,0.0,10094.84,42.0,High
2023-09-07,Giza,29.99364748303039,31.21076596741727,Electronics,1543.42,7,0.2,8643.18,31.0,High
2023-06-10,Mansoura,31.026138025592942,31.37513394429967,Home,955.43,6,0.1,5159.33,44.0,High
2023-02-14,Alexandria,31.177110641608373,29.914554660592987,Groceries,146.57,10,0.25,1099.3,23.0,Middle
2023-06-30,Alexandria,31.200898760542703,29.935718944374155,Groceries,195.86,10,0.15,1664.84,32.0,Middle
2023-01-13,Zagazig,30.593140149383064,31.510247263799062,Clothing,1120.6,8,0.25,6723.61,34.0,High
2023-11-28,Cairo,30.048015990341455,31.245487111111743,Groceries,240.72,7,0.25,1263.76,62.0,Middle
2023-04-05,Mansoura,31.038008757032156,31.38597390358593,Groceries,175.59,9,0.2,1264.21,26.0,Middle
2023-08-30,Zagazig,30.591765402937522,31.50150059385718,Clothing,1053.04,9,0.15,8055.74,43.0,High
2023-04-24,Zagazig,30.58473550485402,31.513977859379473,Sports,1679.11,7,0.5,5876.89,41.0,High
2023-07-09,Cairo,30.051807256829825,31.221021867075013,Electronics,4019.44,6,0.1,21705.0,56.0,High
2023-07-19,Mansoura,31.051972942573858,31.39400941299347,Sports,1923.18,8,0.15,13077.63,51.0,High
2023-03-09,Cairo,30.035088119675464,31.243121389233806,Clothing,1337.04,10,0.15,11364.84,29.0,High
2023-12-20,Alexandria,31.19722362538963,29.92355900006187,Groceries,67.42,9,0.15,515.77,22.0,Low
2023-10-10,Giza,30.011843346147277,31.20133013675812,Groceries,285.28,7,0.0,1996.94,18.0,Middle
2023-12-09,Alexandria,31.214354332795295,29.92800959138815,Sports,647.1,9,0.1,5241.5,38.0,High
2023-11-23,Alexandria,31.191965579439945,29.930150471949325,Home,2482.53,10,0.1,22342.75,47.0,High
2023-08-07,Zagazig,30.598676628115967,31.494955910851054,Electronics,3954.65,2,0.3,5536.51,49.0,High
2023-12-03,Alexandria,31.185439403296016,29.9119602233566,Groceries,195.71,5,0.2,782.84,32.0,Low
2023-02-02,Mansoura,31.053335456010977,31.368163911430564,Clothing,621.62,9,0.1,5035.12,36.0,High
2023-03-13,Alexandria,31.20861883409377,29.924179894893257,Sports,526.28,8,0.2,3368.21,52.0,High
2023-01-17,Mansoura,31.0393434246171,31.37751842842186,Electronics,1941.61,7,0.3,9513.87,26.0,High
