ProductID,ProductName,Category,Price,Supplier
1,Home Appliances Product 1,Home Appliances,1530.31,ElAraby Group
2,Clothing Product 2,Clothing,747.31,Carrefour Supplier
3,Home Appliances Product 3,Home Appliances,20559.63,IKEA Egypt
4,Home Appliances Product 4,Home Appliances,18042.38,Samsung Egypt
5,Electronics Product 5,Electronics,2795.53,Fresh Electric
6,Electronics Product 6,Electronics,14250.5,Carrefour Supplier
7,Beauty Product 7,Beauty,590.08,Adidas Egypt
8,Furniture Product 8,Furniture,40757.38,Samsung Egypt
9,Groceries Product 9,Groceries,141.14,Nestle Egypt
10,Furniture Product 10,Furniture,9040.76,Metro Market Supplier
11,Sports Product 11,Sports,997.24,P&G Egypt
12,Home Appliances Product 12,Home Appliances,11282.2,Nestle Egypt
13,Furniture Product 13,Furniture,40645.72,Carrefour Supplier
14,Stationery Product 14,Stationery,270.43,P&G Egypt
15,Home Appliances Product 15,Home Appliances,16919.59,Nike Egypt
16,Sports Product 16,Sports,4703.35,Carrefour Supplier
17,Home Appliances Product 17,Home Appliances,2138.07,Fresh Electric
18,Furniture Product 18,Furniture,49283.24,Fresh Electric
19,Home Appliances Product 19,Home Appliances,11899.69,Unilever Egypt
20,Sports Product 20,Sports,1468.7,Nestle Egypt
21,Clothing Product 21,Clothing,2043.51,Carrefour Supplier
22,Home Appliances Product 22,Home Appliances,18586.63,Sony Middle East
23,Clothing Product 23,Clothing,573.87,P&G Egypt
24,Furniture Product 24,Furniture,49491.88,Nike Egypt
25,Clothing Product 25,Clothing,2085.38,Metro Market Supplier
26,Electronics Product 26,Electronics,6111.68,Samsung Egypt
27,Sports Product 27,Sports,3329.09,LG Egypt
28,Clothing Product 28,Clothing,2748.09,Adidas Egypt
29,Sports Product 29,Sports,1858.49,Unilever Egypt
30,Beauty Product 30,Beauty,2217.47,Nike Egypt
31,Stationery Product 31,Stationery,75.72,Sony Middle East
32,Clothing Product 32,Clothing,2260.47,IKEA Egypt
33,Furniture Product 33,Furniture,37730.17,P&G Egypt
34,Beauty Product 34,Beauty,936.89,Sony Middle East
35,Stationery Product 35,Stationery,50,Samsung Egypt
36,Home Appliances Product 36,Home Appliances,5262.97,Sony Middle East
37,Beauty Product 37,Beauty,1511.2,P&G Egypt
