SaleID,CustomerID,BranchID,SaleDate,TotalAmount
1,3649,7,7/18/2023,3748.89
2,4573,189,7/29/2022,10182.82
3,17871,23,5/14/2024,573.56
4,3071,56,4/22/2023,7629.79
5,870,144,2/12/2023,10768.69
6,17857,108,3/28/2023,6793.21
7,9116,2,11/23/2022,10502.28
8,11150,72,11/15/2022,3308.18
9,11030,27,7/9/2022,5760.92
10,11764,89,6/26/2023,12126.21
11,15055,138,9/13/2022,14599.42
12,12404,21,8/24/2023,12458.13
13,11851,148,1/29/2023,10598.12
14,1502,170,4/12/2023,11618.72
15,2615,60,7/26/2022,5763.88
16,14858,163,1/18/2024,2523.55
17,11642,54,7/1/2023,10557.12
18,2340,156,12/17/2022,8058.68
19,8022,42,8/4/2024,5753.89
20,18251,57,10/27/2023,12658.49
21,1833,59,3/7/2022,12095.18
22,13146,69,5/16/2022,3243.64
23,18586,184,10/7/2023,3268.14
24,16359,102,7/28/2024,2228.79
25,4576,64,6/23/2023,11230.51
26,14039,150,3/28/2024,5493.75
27,4533,131,10/7/2024,1454.55
28,1544,29,11/10/2022,9448.95
29,13834,153,5/11/2022,5833.03
30,19527,120,12/19/2024,3846.07
31,18129,3,8/23/2022,10257.48
32,17596,193,7/1/2023,11552.12
33,11147,29,8/25/2023,6578
34,14868,1,6/24/2023,14581.13
35,5855,130,8/6/2022,13070.73
36,9780,164,11/5/2024,9173.66
37,5009,96,11/27/2022,8136.75
38,17379,1,10/26/2023,7380.23
39,3666,93,9/22/2023,3667.84
40,7893,146,6/11/2022,1376.24
41,15925,18,12/26/2024,11510.93
42,4208,169,8/31/2024,14208.05
43,5411,68,12/16/2024,13099.25
44,13866,55,2/16/2023,10722.94
45,13075,172,2/4/2024,6627.69
46,16960,116,9/5/2022,3793.79
47,2099,87,2/13/2022,8865.8
48,7541,151,3/28/2023,207.14
49,1930,59,5/19/2022,13590.76
50,10828,19,11/18/2024,3646.27
51,15907,55,9/28/2022,10877.95
52,18712,148,8/26/2024,3720.66
53,15499,105,1/25/2023,1505.45
54,14125,91,5/17/2024,6225.42
55,1776,173,7/21/2022,1003.13
56,11119,28,5/25/2023,2954.69
57,17574,115,10/15/2022,6386.04
58,9128,119,5/27/2023,13129.84
59,2471,114,7/20/2022,853.77
60,17714,4,7/11/2022,13902.87
61,7746,43,4/12/2024,7336.05
62,7005,103,5/1/2022,2553.09
63,71,100,6/28/2023,13905.12
64,14910,74,5/16/2024,10479.21
65,18212,170,9/23/2024,2406.47
66,9723,56,4/30/2022,8729.79
67,17767,16,10/5/2023,951.76
68,19143,123,10/26/2024,13798.87
69,17404,41,4/27/2022,14415.61
70,2626,48,5/21/2022,8966.02
71,7708,104,9/3/2022,14129.78
72,18668,64,3/23/2022,9328.78
