order_id,order_date,customer_id,city,segment,product_category,payment_method,quantity,unit_price,discount,shipping_cost,delivery_days,revenue,profit,is_returned,rating
1,2023-04-13,17542,Tanta,Consumer,Furniture,Online,2,160.71,0.11,16.24,1,286.07,31.54,0,4
2,2024-03-11,12011,Giza,Corporate,Technology,Card,8,205.2,0.16,4.3,5,1378.97,14.56,0,4
3,2023-09-28,13373,Alexandria,Consumer,Technology,Online,3,202.32,0.05,15.22,5,576.6,215.75,0,3
4,2023-04-17,17357,Cairo,Corporate,Technology,Online,3,182.33,0.16,5.66,5,459.47,81.5,0,2
5,2023-03-13,11289,Alexandria,Home Office,Furniture,Online,7,128.27,0.11,8.52,6,799.13,204.12,0,5
6,2024-12-01,11447,Giza,Home Office,Furniture,Card,3,169.0,0.22,2.75,5,395.46,-63.47,0,5
7,2023-01-21,13199,Cairo,Home Office,Furniture,Card,3,183.87,0.2,12.21,7,441.29,-3.74,0,4
8,2024-09-06,16381,Giza,Consumer,Technology,Card,6,211.0,0.21,14.72,9,1000.14,310.71,0,3
9,2023-05-02,17522,Cairo,Consumer,Technology,Online,3,196.55,0.14,9.86,9,507.11,148.5,0,3
10,2024-04-11,16059,Tanta,Consumer,Office Supplies,Online,2,54.5,0.22,5.37,1,85.02,18.29,0,2
11,2023-08-03,13183,Giza,Consumer,Technology,Card,6,183.16,0.27,7.09,6,802.23,238.97,0,5
12,2023-11-27,15462,Cairo,Home Office,Office Supplies,Card,1,51.06,0.08,4.25,7,46.98,10.74,0,4
13,2024-04-03,13216,Giza,Corporate,Technology,Card,4,188.07,0.06,2.67,9,707.13,230.7,0,5
14,2023-03-29,13136,Giza,Consumer,Furniture,Online,2,139.05,0.18,11.39,5,228.04,51.46,0,5
15,2024-01-08,13318,Luxor,Consumer,Furniture,Card,4,143.34,0.13,4.18,2,498.84,81.12,0,5
16,2023-04-10,12782,Mansoura,Consumer,Office Supplies,Cash,4,27.98,0.29,10.8,8,79.45,2.92,0,4
17,2024-10-25,19182,Giza,Corporate,Technology,Card,4,218.3,0.19,13.23,1,707.29,-71.23,0,3
18,2023-05-11,17657,Tanta,Corporate,Technology,Card,3,173.91,0.19,7.67,7,422.61,1.21,0,3
19,2024-10-23,14920,Alexandria,Home Office,Furniture,Online,6,137.91,0.2,18.87,4,661.98,189.19,0,5
20,2023-11-05,16324,Cairo,Home Office,Office Supplies,Card,7,34.19,0.29,9.24,6,169.94,15.28,0,3
21,2023-12-10,16327,Luxor,Consumer,Office Supplies,Card,6,41.16,0.01,9.3,8,244.47,14.66,0,2
22,2024-05-06,18417,Alexandria,Consumer,Furniture,Card,3,115.9,0.02,4.12,3,340.76,134.94,0,4
23,2024-02-18,10776,Alexandria,Consumer,Furniture,Card,3,134.19,0.16,12.91,2,338.16,105.13,0,4
24,2024-01-21,15208,Tanta,Consumer,Furniture,Cash,8,115.03,0.02,26.45,8,901.8,329.74,0,3
25,2023-07-11,10687,Giza,Home Office,Furniture,Card,4,136.01,0.17,4.26,6,451.56,19.93,0,3
26,2023-10-04,10529,Tanta,Corporate,Furniture,Cash,5,141.25,0.08,4.64,6,649.77,145.69,0,3
27,2023-06-10,15067,Luxor,Corporate,Office Supplies,Card,3,40.06,0.07,13.2,8,111.75,35.22,0,5
28,2024-04-04,18080,Giza,Consumer,Office Supplies,Online,3,5.0,0.07,8.65,5,13.95,-4.37,0,4
29,2023-11-10,15518,Alexandria,Consumer,Furniture,Online,3,163.07,0.23,11.31,5,376.68,103.82,0,5
30,2023-01-22,12153,Giza,Consumer,Furniture,Online,8,139.81,0.07,8.2,7,1040.21,342.7,0,2
31,2023-09-10,19486,Mansoura,Consumer,Furniture,Online,1,143.18,0.13,30.76,6,124.57,12.43,0,3
32,2024-07-14,16094,Alexandria,Corporate,Furniture,Card,9,169.43,0.06,3.72,3,1433.34,532.67,0,3
33,2024-04-19,16974,Cairo,Consumer,Furniture,Card,6,176.9,0.12,15.71,4,934.02,57.24,0,4
34,2023-02-28,19718,Giza,Corporate,Technology,Online,5,186.9,0.13,6.33,2,813.0,46.56,0,4
35,2024-05-25,14774,Alexandria,Corporate,Technology,Card,7,186.76,0.08,6.81,8,1202.75,159.27,0,3
36,2024-11-12,17692,Cairo,Consumer,Furniture,Card,3,142.92,0.15,7.17,6,364.43,24.86,0,5
37,2024-04-20,13103,Cairo,Corporate,Office Supplies,Card,6,16.66,0.27,16.17,7,72.99,-2.98,0,5
38,2024-11-30,12440,Giza,Consumer,Technology,Card,4,171.3,0.22,19.54,5,534.45,51.52,0,5
39,2023-07-09,14135,Giza,Corporate,Furniture,Card,3,149.37,0.17,3.38,7,371.94,62.04,0,5
40,2024-11-17,17124,Giza,Corporate,Technology,Card,7,186.8,0.05,2.56,4,1242.22,306.11,0,4
41,2024-07-16,15201,Cairo,Home Office,Technology,Card,6,201.96,0.18,7.14,4,993.63,-34.45,0,3
42,2024-07-20,10844,Cairo,Consumer,Office Supplies,Online,6,64.17,0.11,15.48,2,342.69,-2.18,0,5
43,2023-09-01,10446,Luxor,Consumer,Office Supplies,Card,4,27.89,0.16,4.49,8,93.7,23.8,0,4
44,2024-05-19,13915,Alexandria,Consumer,Technology,Online,4,184.89,0.1,8.06,7,665.59,159.97,0,5
45,2023-05-11,13109,Cairo,Consumer,Office Supplies,Card,4,24.56,0.02,2.53,4,96.26,38.8,1,4
46,2024-04-29,11234,Giza,Corporate,Technology,Cash,5,202.57,0.17,4.76,3,840.68,66.88,0,4
47,2024-10-08,16587,Alexandria,Home Office,Office Supplies,Card,4,26.69,0.21,12.14,1,84.34,-5.61,0,2
48,2023-01-21,10226,Cairo,Consumer,Technology,Card,3,188.74,0.05,3.01,5,537.92,59.09,0,3
49,2023-06-16,14143,Cairo,Consumer,Technology,Card,3,166.87,0.15,2.25,6,425.51,69.06,0,4
50,2023-10-01,17185,Cairo,Consumer,Furniture,Card,2,162.67,0.1,11.84,3,292.81,16.65,0,4
51,2024-01-23,15558,Aswan,Consumer,Office Supplies,Online,2,12.14,0.05,10.2,9,23.06,-2.37,0,4
52,2024-08-23,10186,Luxor,Consumer,Technology,Online,4,229.25,0.22,6.63,9,715.26,-4.52,0,5
53,2023-11-12,12535,Luxor,Consumer,Office Supplies,Card,6,22.62,0.04,11.37,6,130.3,48.88,1,4
54,2023-01-14,11932,Luxor,Corporate,Technology,Card,3,189.67,0.08,12.25,5,523.49,192.25,0,5
55,2023-08-30,19040,Alexandria,Consumer,Office Supplies,Card,4,20.57,0.05,5.18,2,78.17,17.14,0,2
56,2023-12-12,12032,Giza,Consumer,Technology,Card,6,203.0,0.1,2.28,6,1096.22,52.83,0,4
57,2024-07-18,11252,Alexandria,Corporate,Office Supplies,Card,3,12.67,0.15,11.1,5,32.31,-11.25,0,4
58,2023-12-06,15509,Cairo,Consumer,Furniture,Online,3,136.5,0.14,2.68,3,352.16,46.66,0,3
59,2023-04-02,15074,Alexandria,Corporate,Furniture,Card,4,162.45,0.15,19.91,3,552.32,173.76,0,3
60,2024-01-02,11881,Luxor,Corporate,Office Supplies,Online,4,9.65,0.29,9.81,1,27.39,-12.22,0,4
61,2024-03-30,10269,Alexandria,Corporate,Office Supplies,Cash,2,40.96,0.15,13.85,9,69.64,9.03,0,4
62,2024-03-03,11630,Giza,Consumer,Furniture,Online,6,166.55,0.12,7.17,4,879.38,232.48,0,5
63,2024-05-23,14405,Cairo,Consumer,Technology,Card,6,213.35,0.17,5.81,9,1062.5,255.75,0,3
64,2023-02-04,16139,Alexandria,Corporate,Furniture,Online,2,154.67,0.07,19.46,4,287.69,4.12,0,3
65,2023-07-25,11574,Luxor,Corporate,Furniture,Online,5,113.92,0.27,10.27,5,415.8,-37.28,0,3
